E_GeV,track_mu,track_e,track_tau,casc_e,casc_mu,casc_tau
1.00000000e+04,3.03828850e+04,4.88597423e+03,7.32896134e+03,1.00000000e+03,1.00000000e+02,1.00000000e+02
1.00000000e+05,2.87663299e+05,4.95122505e+04,8.21977255e+04,3.00000000e+05,5.00000000e+04,1.00000000e+05
1.00000000e+06,1.12074154e+06,3.31685362e+05,3.72045792e+05,1.50000000e+06,4.00000000e+05,1.00000000e+06
3.00000000e+06,1.21033892e+06,6.04762685e+05,5.37958250e+05,3.00000000e+06,6.44444444e+05,1.22222222e+06
7.00000000e+06,1.88150852e+06,5.87971411e+05,9.40754258e+05,1.80000000e+07,1.13333333e+06,1.66666667e+06
8.00000000e+06,2.02732567e+06,6.33539271e+05,1.01366283e+06,2.00000000e+07,1.25555556e+06,1.77777778e+06
1.00000000e+07,2.31895996e+06,7.24674989e+05,1.15947998e+06,4.50000000e+06,1.50000000e+06,2.00000000e+06
1.00000000e+08,5.34493141e+06,1.67029106e+06,2.67246570e+06,7.00000000e+06,4.00000000e+06,4.00000000e+06
1.00000000e+09,1.16675744e+07,3.64611700e+06,5.83378721e+06,2.00000000e+07,1.00000000e+07,1.00000000e+07
1.00000000e+10,2.64927497e+07,8.27898429e+06,1.32463749e+07,4.00000000e+07,2.00000000e+07,2.00000000e+07
