E_GeV,A_e,A_mu,A_tau
1.258925411794166212e+04,6.525763943614205399e-03,1.070157825578101018e+00,0.000000000000000000e+00
1.584893192461114086e+04,1.608061363198381305e-02,1.676853352947429432e+00,1.889593595508303218e-03
1.995262314968878854e+04,3.654218527093176100e-02,2.427607204208221958e+00,5.957273967284620365e-03
2.511886431509582326e+04,7.756047960871914615e-02,3.336078867732527264e+00,1.472580861996337399e-02
3.162277660168379225e+04,1.570715638339371389e-01,5.192535857232486229e+00,3.255640996516728086e-02
3.981071705534969078e+04,3.078088824693670511e-01,7.369940576718131631e+00,6.748500402356760741e-02
5.011872336272725079e+04,5.827057650452253101e-01,1.018166116080574568e+01,1.339969196289630404e-01
6.309573444801929872e+04,1.052187953038735690e+00,1.343817181927653515e+01,2.564686681465533358e-01
7.943282347242820833e+04,1.783045453755050858e+00,1.794982923481661174e+01,4.711543225728143103e-01
1.000000000000000000e+05,2.796050565203012983e+00,2.309231867451723019e+01,8.217748849789761056e-01
1.258925411794166139e+05,4.036098980335759201e+00,3.056259893537165340e+01,1.346175651451350319e+00
1.584893192461114086e+05,5.402692913429486765e+00,4.057656993969067116e+01,2.063432043730000220e+00
1.995262314968878927e+05,6.806705239545027375e+00,4.992706554388482232e+01,2.966227318901490051e+00
2.511886431509582035e+05,8.207062199545672954e+00,6.244794608324369989e+01,4.029950950907609908e+00
3.162277660168379080e+05,9.604626069665908261e+00,7.290532285831044135e+01,5.226286028528437377e+00
3.981071705534969224e+05,1.102257650377505627e+01,8.778594671084965739e+01,6.533654564821874899e+00
5.011872336272724788e+05,1.249318506123275263e+01,1.057206559913769013e+02,7.935274106007143224e+00
6.309573444801929872e+05,1.404305131372995774e+01,1.225154351934967139e+02,9.421596499050501450e+00
7.943282347242821706e+05,1.569376484839496300e+01,1.409683890967847333e+02,1.098887195022486019e+01
1.000000000000000000e+06,1.746317976307922848e+01,1.577575849156814911e+02,1.263740730375652532e+01
1.258925411794166081e+06,1.936733454307357505e+01,1.790381513506895885e+02,1.437241523160712120e+01
1.584893192461114144e+06,2.142613152637422758e+01,2.053606440417453598e+02,1.621494531035503073e+01
1.995262314968882827e+06,2.365559164642071011e+01,2.213713241747804830e+02,1.817754216249253574e+01
2.511886431509582326e+06,2.607209152532952601e+01,2.507196077367783573e+02,2.026975969164921310e+01
3.162277660168379545e+06,2.869280085976174632e+01,2.870108920551535334e+02,2.249550513510606820e+01
3.981071705534969456e+06,3.153573840397526951e+01,3.125514496653696028e+02,2.484759560567675862e+01
5.011872336272724904e+06,3.461987015636105269e+01,3.390138504250242590e+02,2.728922633034819611e+01
6.309573444801942445e+06,3.796495752300287307e+01,3.867646584689445035e+02,2.977871844827095771e+01
7.943282347242821939e+06,4.159834021838656071e+01,4.270791245441557180e+02,3.225753669853513372e+01
1.000000000000000000e+07,4.555226149238325917e+01,4.486122545030067386e+02,3.473569429685725396e+01
1.258925411794166267e+07,4.984937276249435456e+01,4.918365088847490370e+02,3.735542852590096885e+01
1.584893192461114191e+07,5.451770421276616219e+01,5.500202870699358755e+02,4.023973834557202167e+01
1.995262314968882874e+07,5.958748682593249413e+01,5.972955790928373290e+02,4.340781632493581554e+01
2.511886431509582326e+07,6.508889514879199112e+01,6.414533152729230778e+02,4.688219846305118210e+01
3.162277660168379173e+07,7.105348642004994986e+01,6.855685334259453612e+02,5.068786854563282418e+01
3.981071705534969270e+07,7.751408869726076034e+01,7.440458360081034925e+02,5.484554022790816674e+01
5.011872336272724718e+07,8.450322532839516043e+01,8.354984399059753741e+02,5.933182077987507341e+01
6.309573444801943004e+07,9.205704951748776921e+01,9.283554414631488498e+02,6.415024405460835055e+01
7.943282347242821753e+07,1.002142683266399246e+02,1.002197113896594828e+03,6.931222761876806260e+01
1.000000000000000000e+08,1.090156901695792300e+02,1.090727688203002799e+03,7.482976423170902081e+01
1.258925411794171333e+08,1.185075090100001205e+02,1.143993743720310476e+03,8.072819466848261527e+01
1.584893192461110950e+08,1.287590562860702335e+02,1.259093048811833569e+03,8.710701815367715994e+01
1.995262314968882799e+08,1.398285888685832390e+02,1.399286561140211006e+03,9.401920114029374531e+01
2.511886431509582102e+08,1.517739379665209754e+02,1.510403942036615717e+03,1.015100801626411169e+02
3.162277660168379545e+08,1.646558693198012406e+02,1.626154754525282897e+03,1.096283301915814405e+02
3.981071705534985662e+08,1.785367637080300938e+02,1.677629353031191158e+03,1.184090286310188986e+02
5.011872336272714734e+08,1.934781072540806122e+02,1.911835595770472537e+03,1.277984786963967565e+02
6.309573444801943302e+08,2.095464943104769304e+02,2.114938167899382734e+03,1.378069378398693061e+02
7.943282347242821455e+08,2.268116248843288645e+02,2.216721584311922015e+03,1.484606877388340536e+02
1.000000000000000000e+09,2.453456660045657713e+02,2.468256268373485909e+03,1.597861158798651218e+02
1.258925411794171333e+09,2.652309424615897910e+02,2.566972478034832420e+03,1.718381614858716944e+02
1.584893192461110830e+09,2.866006066820414162e+02,2.835109604001432217e+03,1.848360041044682021e+02
