E_GeV,A_e,A_mu,A_tau
1.258925411794166212e+04,1.095988363458203635e-02,1.911694270614339164e+00,0.000000000000000000e+00
1.584893192461114086e+04,2.726009010818834094e-02,2.945153674568593338e+00,3.779187191016606436e-03
1.995262314968878854e+04,6.264636416492985749e-02,4.346563861503851101e+00,1.191454793456924073e-02
2.511886431509582326e+04,1.345790955054425864e-01,6.143141251281758031e+00,2.945161723992674799e-02
3.162277660168379225e+04,2.759862296945018167e-01,9.316074723872361574e+00,6.511281993033456172e-02
3.981071705534969078e+04,5.478308885171732090e-01,1.326680390224083084e+01,1.349700080471352148e-01
5.011872336272725079e+04,1.050158521731448413e+00,1.829650394747846320e+01,2.679938392579260809e-01
6.309573444801929872e+04,1.919219003620814101e+00,2.534350153843227105e+01,5.129373362931066715e-01
7.943282347242820833e+04,3.289811612341706493e+00,3.372762863722881121e+01,9.423086451456286206e-01
1.000000000000000000e+05,5.215261817765417085e+00,4.410189311235642151e+01,1.643549769957952211e+00
1.258925411794166139e+05,7.606115137791593206e+00,5.855473730233848073e+01,2.692351302902700638e+00
1.584893192461114086e+05,1.028000996586426652e+01,7.635409447983286668e+01,4.126864087460000441e+00
1.995262314968878927e+05,1.306918416318580256e+01,9.556995600230825971e+01,5.932454637802980102e+00
2.511886431509582035e+05,1.589370738512445413e+01,1.227305536000427963e+02,8.059901901815219816e+00
3.162277660168379080e+05,1.875398646066337349e+01,1.423600301922436415e+02,1.045257205705687475e+01
3.981071705534969224e+05,2.169510512073368247e+01,1.682566527050770731e+02,1.306730912964374980e+01
5.011872336272724788e+05,2.478527154670470622e+01,2.052217920909762370e+02,1.587054821201428645e+01
6.309573444801929872e+05,2.808545192599268248e+01,2.327583148839246405e+02,1.884319299810100290e+01
7.943282347242821706e+05,3.165339744158385216e+01,2.757821069810785843e+02,2.197774390044972037e+01
1.000000000000000000e+06,3.555082848789521677e+01,3.120202343313255824e+02,2.527481460751305065e+01
1.258925411794166081e+06,3.985725781721857430e+01,3.531257138541018321e+02,2.874483046321424240e+01
1.584893192461114144e+06,4.470588842989026546e+01,4.031768997790713911e+02,3.242989062071006146e+01
1.995262314968882827e+06,5.030599158822865036e+01,4.409109058472768083e+02,3.635508432498507148e+01
2.511886431509582326e+06,5.707946590504545981e+01,4.993717281736973632e+02,4.053951938329842619e+01
3.162277660168379545e+06,6.606632645913799706e+01,5.646082344882338475e+02,4.499101027021213639e+01
3.981071705534969456e+06,8.061238900045597688e+01,6.155615750626649287e+02,4.969519121135351725e+01
5.011872336272724904e+06,1.176278922717763180e+02,6.760527573139543165e+02,5.457845266069639223e+01
6.309573444801942445e+06,4.651935484886395784e+02,7.502897622433921470e+02,5.955743689654191542e+01
7.943282347242821939e+06,5.175246874885493753e+02,8.256952449670965279e+02,6.451507339707026745e+01
1.000000000000000000e+07,1.413623269215639198e+02,9.119140602378342919e+02,6.947138859371450792e+01
1.258925411794166267e+07,1.176767089679758982e+02,9.889872119019348702e+02,7.471085705180193770e+01
1.584893192461114191e+07,1.179106213917221027e+02,1.093506808544018668e+03,8.047947669114404334e+01
1.995262314968882874e+07,1.242677052243646187e+02,1.190746228632311613e+03,8.681563264987163109e+01
2.511886431509582326e+07,1.333590384730048299e+02,1.287336640925283518e+03,9.376439692610236420e+01
3.162277660168379173e+07,1.442009936211057379e+02,1.378165233365223912e+03,1.013757370912656484e+02
3.981071705534969270e+07,1.564525517984161809e+02,1.548455110165938549e+03,1.096910804558163335e+02
5.011872336272724718e+07,1.699974572248328855e+02,1.670530536340881099e+03,1.186636415597501468e+02
6.309573444801943004e+07,1.848141667106298200e+02,1.822106899834413753e+03,1.283004881092167011e+02
7.943282347242821753e+07,2.009275019644497888e+02,1.962365868069280850e+03,1.386244552375361252e+02
1.000000000000000000e+08,2.183874379618829948e+02,2.180214337065472137e+03,1.496595284634180416e+02
1.258925411794171333e+08,2.372669279258804522e+02,2.311624512454401611e+03,1.614563893369652305e+02
1.584893192461110950e+08,2.576947860481171801e+02,2.536117322794853862e+03,1.742140363073543199e+02
1.995262314968882799e+08,2.797795252318087478e+02,2.742003702348174556e+03,1.880384022805874906e+02
