E_GeV,A_e,A_mu,A_tau
1.258925411794166212e+04,5.479941817291018175e-03,9.558471353071695820e-01,0.000000000000000000e+00
1.584893192461114086e+04,1.363004505409417047e-02,1.472576837284296669e+00,1.889593595508303218e-03
1.995262314968878854e+04,3.132318208246492874e-02,2.173281930751925550e+00,5.957273967284620365e-03
2.511886431509582326e+04,6.728954775272129318e-02,3.071570625640879015e+00,1.472580861996337399e-02
3.162277660168379225e+04,1.379931148472509084e-01,4.658037361936180787e+00,3.255640996516728086e-02
3.981071705534969078e+04,2.739154442585866045e-01,6.633401951120415418e+00,6.748500402356760741e-02
5.011872336272725079e+04,5.250792608657242067e-01,9.148251973739231602e+00,1.339969196289630404e-01
6.309573444801929872e+04,9.596095018104070506e-01,1.267175076921613552e+01,2.564686681465533358e-01
7.943282347242820833e+04,1.644905806170853246e+00,1.686381431861440561e+01,4.711543225728143103e-01
1.000000000000000000e+05,2.607630908882708543e+00,2.205094655617821076e+01,8.217748849789761056e-01
1.258925411794166139e+05,3.803057568895796603e+00,2.927736865116924037e+01,1.346175651451350319e+00
1.584893192461114086e+05,5.140004982932133260e+00,3.817704723991643334e+01,2.063432043730000220e+00
1.995262314968878927e+05,6.534592081592901280e+00,4.778497800115412986e+01,2.966227318901490051e+00
2.511886431509582035e+05,7.946853692562227067e+00,6.136527680002139817e+01,4.029950950907609908e+00
3.162277660168379080e+05,9.376993230331686746e+00,7.118001509612182076e+01,5.226286028528437377e+00
3.981071705534969224e+05,1.084755256036684123e+01,8.412832635253853653e+01,6.533654564821874899e+00
5.011872336272724788e+05,1.239263577335235311e+01,1.026108960454881185e+02,7.935274106007143224e+00
6.309573444801929872e+05,1.404272596299634124e+01,1.163791574419623203e+02,9.421596499050501450e+00
7.943282347242821706e+05,1.582669872079192608e+01,1.378910534905392922e+02,1.098887195022486019e+01
1.000000000000000000e+06,1.777541424394760838e+01,1.560101171656627912e+02,1.263740730375652532e+01
1.258925411794166081e+06,1.992862890860928715e+01,1.765628569270509161e+02,1.437241523160712120e+01
1.584893192461114144e+06,2.235294421494513273e+01,2.015884498895356955e+02,1.621494531035503073e+01
1.995262314968882827e+06,2.515299579411432518e+01,2.204554529236384042e+02,1.817754216249253574e+01
2.511886431509582326e+06,2.853973295252272990e+01,2.496858640868486816e+02,2.026975969164921310e+01
3.162277660168379545e+06,3.303316322956899853e+01,2.823041172441169238e+02,2.249550513510606820e+01
3.981071705534969456e+06,4.030619450022798844e+01,3.077807875313324644e+02,2.484759560567675862e+01
5.011872336272724904e+06,5.881394613588815901e+01,3.380263786569771582e+02,2.728922633034819611e+01
6.309573444801942445e+06,2.325967742443197892e+02,3.751448811216960735e+02,2.977871844827095771e+01
7.943282347242821939e+06,2.587623437442746877e+02,4.128476224835482640e+02,3.225753669853513372e+01
1.000000000000000000e+07,7.068116346078195988e+01,4.559570301189171460e+02,3.473569429685725396e+01
1.258925411794166267e+07,5.883835448398794910e+01,4.944936059509674351e+02,3.735542852590096885e+01
1.584893192461114191e+07,5.895531069586105133e+01,5.467534042720093339e+02,4.023973834557202167e+01
1.995262314968882874e+07,6.213385261218230937e+01,5.953731143161558066e+02,4.340781632493581554e+01
2.511886431509582326e+07,6.667951923650241497e+01,6.436683204626417591e+02,4.688219846305118210e+01
3.162277660168379173e+07,7.210049681055286896e+01,6.890826166826119561e+02,5.068786854563282418e+01
3.981071705534969270e+07,7.822627589920809044e+01,7.742275550829692747e+02,5.484554022790816674e+01
5.011872336272724718e+07,8.499872861241644273e+01,8.352652681704405495e+02,5.933182077987507341e+01
6.309573444801943004e+07,9.240708335531491002e+01,9.110534499172068763e+02,6.415024405460835055e+01
7.943282347242821753e+07,1.004637509822248944e+02,9.811829340346404251e+02,6.931222761876806260e+01
1.000000000000000000e+08,1.091937189809414974e+02,1.090107168532736068e+03,7.482976423170902081e+01
1.258925411794171333e+08,1.186334639629402261e+02,1.155812256227200805e+03,8.072819466848261527e+01
1.584893192461110950e+08,1.288473930240585901e+02,1.268058661397426931e+03,8.710701815367715994e+01
1.995262314968882799e+08,1.398897626159043739e+02,1.371001851174087278e+03,9.401920114029374531e+01
2.511886431509582102e+08,1.518154436993814329e+02,1.494908682571444388e+03,1.015100801626411169e+02
3.162277660168379545e+08,1.646828637528319916e+02,1.611058270006272323e+03,1.096283301915814405e+02
3.981071705534985662e+08,1.785529004186470843e+02,1.708520198468546823e+03,1.184090286310188986e+02
5.011872336272714734e+08,1.934864518541946268e+02,1.956976889530020344e+03,1.277984786963967565e+02
6.309573444801943302e+08,2.095493380189903974e+02,2.092342370873303025e+03,1.378069378398693061e+02
7.943282347242821455e+08,2.268105198828934022e+02,2.276137477471678721e+03,1.484606877388340536e+02
1.000000000000000000e+09,2.453414562605725280e+02,2.444190329389621184e+03,1.597861158798651218e+02
1.258925411794171333e+09,2.652240385513711090e+02,2.570905766648455938e+03,1.718381614858716944e+02
1.584893192461110830e+09,2.865918593426887355e+02,2.855136560317344447e+03,1.848360041044682021e+02
1.995262314968882799e+09,3.095504194730199856e+02,2.982949121682034274e+03,1.988922622003174183e+02
2.511886431509582043e+09,3.341991497330694756e+02,3.324675553581508211e+03,2.140957136060947334e+02
3.162277660168379307e+09,3.606414112906728633e+02,3.566708754749811305e+03,2.305407275099907736e+02
3.981071705534985542e+09,3.889815656536986808e+02,3.723721392613388161e+03,2.482921630590395239e+02
5.011872336272714615e+09,4.193160654789664932e+02,4.113178631033963029e+03,2.672178683641943735e+02
6.309573444801942825e+09,4.517534718599424650e+02,4.472089434064640045e+03,2.873274278995636450e+02
7.943282347242821693e+09,4.864080970526734404e+02,4.738795127307595976e+03,3.086620771210194789e+02
1.000000000000000000e+10,5.234005156366713436e+02,5.195643160644263844e+03,3.312678244148581257e+02
1.258925411794171333e+10,5.628679359859772831e+02,5.717967799919713798e+03,3.552459085720386156e+02
1.584893192461110878e+10,6.050213973429333691e+02,5.825680611959617636e+03,3.810140162942111601e+02
1.995262314968882751e+10,6.500280783129678639e+02,6.138365548717096317e+03,4.087657927869333889e+02
2.511886431509582138e+10,6.980498233785098137e+02,6.584625043862983148e+03,4.386514685209132836e+02
3.162277660168379211e+10,7.492568920886856176e+02,7.148067041818706457e+03,4.708332104745816196e+02
3.981071705534985352e+10,8.037996297623503779e+02,7.676039429778018530e+03,5.053987598735589017e+02
5.011872336272714996e+10,8.616835169123917240e+02,8.383033923594228327e+03,5.419666461938466000e+02
6.309573444801942444e+10,9.230278923392386332e+02,8.691933249793979485e+03,5.805084850388001314e+02
7.943282347242822266e+10,9.879804108737505430e+02,9.507469687468550546e+03,6.210673405329218895e+02
1.000000000000000000e+11,1.056692516376949243e+03,9.896778789351586965e+03,6.636814864942716667e+02
1.258925411794171295e+11,1.129289219112678438e+03,9.965218166847964312e+03,7.084633117898022192e+02
1.584893192461110840e+11,1.205739821216863902e+03,1.003722858918563361e+04,7.559590489584441002e+02
1.995262314968882751e+11,1.286129902223801992e+03,1.011289605728030801e+04,8.063989685683886819e+02
2.511886431509582214e+11,1.370562727298467507e+03,1.019230956897323995e+04,8.599368505862621532e+02
3.162277660168379517e+11,1.459080236507726113e+03,1.027533771717270611e+04,9.166512363061173119e+02
3.981071705534985352e+11,1.551627662003454134e+03,1.036186299135355875e+04,9.764674573483282529e+02
5.011872336272714844e+11,1.647463763628311426e+03,1.045116833933585076e+04,1.038180073807577628e+03
6.309573444801943359e+11,1.745953004313382053e+03,1.054304616574028842e+04,1.101439932726201505e+03
7.943282347242821045e+11,1.170934490172274309e+03,1.063737756425797488e+04,1.166021783992645624e+03
1.000000000000000000e+12,5.084310027440996009e+02,1.069368233588622388e+04,1.136568143394363688e+03
