E_GeV,A_e,A_mu,A_tau
1.258925411794166212e+04,6.525763943614205399e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.584893192461114086e+04,1.608061363198381305e-02,1.343734047802704577e-03,1.889593595508303218e-03
1.995262314968878854e+04,3.654218527093176100e-02,4.495337845109475747e-03,5.957273967284620365e-03
2.511886431509582326e+04,7.756047960871914615e-02,1.134938235138196506e-02,1.472580861996337399e-02
3.162277660168379225e+04,1.570715638339371389e-01,2.527200120695709956e-02,3.255640996516728086e-02
3.981071705534969078e+04,3.078088824693670511e-01,5.224430292511792612e-02,6.748500402356760741e-02
5.011872336272725079e+04,5.827057650452253101e-01,1.028619920906433532e-01,1.339969196289630404e-01
6.309573444801929872e+04,1.052187953038735690e+00,1.946936596390046736e-01,2.564686681465533358e-01
7.943282347242820833e+04,1.783045453755050858e+00,3.542765463660164094e-01,4.711543225728143103e-01
1.000000000000000000e+05,2.796050565203012983e+00,6.149905347754850427e-01,8.217748849789761056e-01
1.258925411794166139e+05,4.036098980335759201e+00,1.009752601564153363e+00,1.346175651451350319e+00
1.584893192461114086e+05,5.402692913429486765e+00,1.562148006499869846e+00,2.063432043730000220e+00
1.995262314968878927e+05,6.806705239545027375e+00,2.280040624757204260e+00,2.966227318901490051e+00
2.511886431509582035e+05,8.207062199545672954e+00,3.158375483315822851e+00,4.029950950907609908e+00
3.162277660168379080e+05,9.604626069665908261e+00,4.185929364611852499e+00,5.226286028528437377e+00
3.981071705534969224e+05,1.102257650377505627e+01,5.354901901140545206e+00,6.533654564821874899e+00
5.011872336272724788e+05,1.249318506123275263e+01,6.663839426496759089e+00,7.935274106007143224e+00
6.309573444801929872e+05,1.404305131372995774e+01,8.113485178560306821e+00,9.421596499050501450e+00
7.943282347242821706e+05,1.569376484839496300e+01,9.707293540432516465e+00,1.098887195022486019e+01
1.000000000000000000e+06,1.746317976307922848e+01,1.145085948804842069e+01,1.263740730375652532e+01
1.258925411794166081e+06,1.936733454307357505e+01,1.335170239409421278e+01,1.437241523160712120e+01
1.584893192461114144e+06,2.142613152637422758e+01,1.542214820698501754e+01,1.621494531035503073e+01
1.995262314968882827e+06,2.365559164642071011e+01,1.767389572852948376e+01,1.817754216249253574e+01
2.511886431509582326e+06,2.607209152532952601e+01,2.012341258027943880e+01,2.026975969164921310e+01
3.162277660168379545e+06,2.869280085976174632e+01,2.279094295472689780e+01,2.249550513510606820e+01
3.981071705534969456e+06,3.153573840397526951e+01,2.569967324555893740e+01,2.484759560567675862e+01
5.011872336272724904e+06,3.461987015636105269e+01,2.887561727105232023e+01,2.728922633034819611e+01
6.309573444801942445e+06,3.796495752300287307e+01,3.234707388892343971e+01,2.977871844827095771e+01
7.943282347242821939e+06,4.159834021838656071e+01,3.614392364179122552e+01,3.225753669853513372e+01
1.000000000000000000e+07,4.555226149238325917e+01,4.028764815308417724e+01,3.473569429685725396e+01
1.258925411794166267e+07,4.984937276249435456e+01,4.479011907793660185e+01,3.735542852590096885e+01
1.584893192461114191e+07,5.451770421276616219e+01,4.967512090504589395e+01,4.023973834557202167e+01
1.995262314968882874e+07,5.958748682593249413e+01,5.496947982542917543e+01,4.340781632493581554e+01
2.511886431509582326e+07,6.508889514879199112e+01,6.069854006634034960e+01,4.688219846305118210e+01
3.162277660168379173e+07,7.105348642004994986e+01,6.688778834658843664e+01,5.068786854563282418e+01
3.981071705534969270e+07,7.751408869726076034e+01,7.356344440065957713e+01,5.484554022790816674e+01
5.011872336272724718e+07,8.450322532839516043e+01,8.075151296412450108e+01,5.933182077987507341e+01
6.309573444801943004e+07,9.205704951748776921e+01,8.848171559585809121e+01,6.415024405460835055e+01
7.943282347242821753e+07,1.002142683266399246e+02,9.678775781941051548e+01,6.931222761876806260e+01
1.000000000000000000e+08,1.090156901695792300e+02,1.057062287899981214e+02,7.482976423170902081e+01
1.258925411794171333e+08,1.185075090100001205e+02,1.152796248500493022e+02,8.072819466848261527e+01
1.584893192461110950e+08,1.287590562860702335e+02,1.255732374783370631e+02,8.710701815367715994e+01
1.995262314968882799e+08,1.398285888685832390e+02,1.366420976295608796e+02,9.401920114029374531e+01
2.511886431509582102e+08,1.517739379665209754e+02,1.485410406356265867e+02,1.015100801626411169e+02
