E_GeV,A_e,A_mu,A_tau
1.258925411794166212e+04,6.198200602201520484e-03,1.070157825578101018e+00,0.000000000000000000e+00
1.584893192461114086e+04,1.527343552831456758e-02,1.676076121126574225e+00,1.710633659037553945e-03
1.995262314968878854e+04,3.470788042351238140e-02,2.425006767756366255e+00,5.392797511189840846e-03
2.511886431509582326e+04,7.366695466446226970e-02,3.329511809321214155e+00,1.332883019196762567e-02
3.162277660168379225e+04,1.491854858477879575e-01,5.177904276029495989e+00,2.945987340167529125e-02
3.981071705534969078e+04,2.923495087813246518e-01,7.339655543102129087e+00,6.103100697793157475e-02
5.011872336272725079e+04,5.534164547187736538e-01,1.012188302717686383e+01,1.210409014723943244e-01
6.309573444801929872e+04,9.992075056429596813e-01,1.332448696531616328e+01,2.311823320913067858e-01
7.943282347242820833e+04,1.692969352103024683e+00,1.774136493434821205e+01,4.233542063267876077e-01
1.000000000000000000e+05,2.654089176409036632e+00,2.272674232037733688e+01,7.356852370668017782e-01
1.258925411794166139e+05,3.829876061011970201e+00,2.995569128926322122e+01,1.201236508384706081e+00
1.584893192461114086e+05,5.124735076969300529e+00,3.962785318720337813e+01,1.836953654029184202e+00
1.995262314968878927e+05,6.454169246872091925e+00,4.852989641920748198e+01,2.636416039869112105e+00
2.511886431509582035e+05,7.779554055397848167e+00,6.049822098897409006e+01,3.577247826551380960e+00
3.162277660168379080e+05,9.102243181007697359e+00,7.030607729472809808e+01,4.632746149079080666e+00
3.981071705534969224e+05,1.044491247462442018e+01,8.444594313833430022e+01,5.781014134897988654e+00
5.011872336272724788e+05,1.183902545248914073e+01,1.015509395906952932e+02,7.003336554449228757e+00
6.309573444801929872e+05,1.331088823087799788e+01,1.174284013170971406e+02,8.286636651894179195e+00
7.943282347242821706e+05,1.488234153176527386e+01,1.348765626309937318e+02,9.622671677476720475e+00
1.000000000000000000e+06,1.657203830042085357e+01,1.505728071578960794e+02,1.100711441651370848e+01
1.258925411794166081e+06,1.839734057052935157e+01,1.706709798365562847e+02,1.244101262744749548e+01
1.584893192461114144e+06,2.037980685595855945e+01,1.957180555951171925e+02,1.394091343143263018e+01
1.995262314968882827e+06,2.253794818572001901e+01,2.103579785097314527e+02,1.551879273092900924e+01
2.511886431509582326e+06,2.489135642424799499e+01,2.382357421133195317e+02,1.718830743965404650e+01
3.162277660168379545e+06,2.746125316149578310e+01,2.729508986370242951e+02,1.896403368270425105e+01
3.981071705534969456e+06,3.027069681368622511e+01,2.968031638383743029e+02,2.085909198638164952e+01
5.011872336272724904e+06,3.334485204909251621e+01,3.214580643740454775e+02,2.287239159856360260e+01
6.309573444801942445e+06,3.671043800574340565e+01,3.672751271369306778e+02,2.501211229019600424e+01
7.943282347242821939e+06,4.035876220014105087e+01,4.055230150016451489e+02,2.728797477310714470e+01
1.000000000000000000e+07,4.426042987932822825e+01,4.248448774155883143e+02,2.971292223568136848e+01
1.258925411794166267e+07,4.845550905581345091e+01,4.656909837646958294e+02,3.231272581596576998e+01
1.584893192461114191e+07,5.301279145234079238e+01,5.213063283865128597e+02,3.513248621235699432e+01
1.995262314968882874e+07,5.796261386638969526e+01,5.658085245077987793e+02,3.819550525295267107e+01
2.511886431509582326e+07,6.333459110116096724e+01,6.069751276830666029e+02,4.152207593039982214e+01
3.162277660168379173e+07,6.915960892037840324e+01,6.478679825504274277e+02,4.513389293892853260e+01
3.981071705534969270e+07,7.546977467065191547e+01,7.028784391149141584e+02,4.904805940062409775e+01
5.011872336272724718e+07,8.229690734849299361e+01,7.906069176475845097e+02,5.324599833409567395e+01
6.309573444801943004e+07,8.967634043977538738e+01,8.794676101068494063e+02,5.773501526506115766e+01
7.943282347242821753e+07,9.764589866100277504e+01,9.490237525027437187e+02,6.252867406983982335e+01
1.000000000000000000e+08,1.062454728669180923e+02,1.032961108137519432e+03,6.764045594027963659e+01
1.258925411794171333e+08,1.155202094283485934e+02,1.081304559054443644e+03,7.309561652588749325e+01
1.584893192461110950e+08,1.255378174483909675e+02,1.191117801839233607e+03,7.898703502018992140e+01
1.995262314968882799e+08,1.363552235472273821e+02,1.325633310312163758e+03,8.536492201700291105e+01
2.511886431509582102e+08,1.480289314853246765e+02,1.430652166259950263e+03,9.227227537687895165e+01
3.162277660168379545e+08,1.606183022109316880e+02,1.539853945295800941e+03,9.975505642745750379e+01
3.981071705534985662e+08,1.741842975949670915e+02,1.584298416085522831e+03,1.078469712643166218e+02
5.011872336272714734e+08,1.887870081824913200e+02,1.810963023053654979e+03,1.165005087037168039e+02
6.309573444801943302e+08,2.044914153214304520e+02,2.005978962550936103e+03,1.257263926815660113e+02
7.943282347242821455e+08,2.213653763168173327e+02,2.099094998948826287e+03,1.355489286949642178e+02
1.000000000000000000e+09,2.394790583366181238e+02,2.341344593496609832e+03,1.459915177817062499e+02
1.258925411794171333e+09,2.589125214045043890e+02,2.430115962808008589e+03,1.571032019033712572e+02
1.584893192461110830e+09,2.797954754816471450e+02,2.687581208101081302e+03,1.690835096175766807e+02
1.995262314968882799e+09,3.022307578544599664e+02,2.915095307467836392e+03,1.820343850441682605e+02
2.511886431509582043e+09,3.263155439897679457e+02,3.201580370198422770e+03,1.960361552989154461e+02
3.162277660168379307e+09,3.521508112177453427e+02,3.450882214120149911e+03,2.111745708154288081e+02
3.981071705534985542e+09,3.798385743469820568e+02,3.581004160048759331e+03,2.275085894750044417e+02
5.011872336272714615e+09,4.094733813870117842e+02,3.983544524121085487e+03,2.449166370547592351e+02
6.309573444801942825e+09,4.411613632261372686e+02,4.214469936686262372e+03,2.634073930155464609e+02
7.943282347242821693e+09,4.750145005321957115e+02,4.555094834685965907e+03,2.830187298066441599e+02
1.000000000000000000e+10,5.111508428202818095e+02,4.928383169895799256e+03,3.037929988836625625e+02
1.258925411794171333e+10,5.497044380253165627e+02,5.402384898613711812e+03,3.258233049055969559e+02
1.584893192461110878e+10,5.908809253819048308e+02,5.626528050070890458e+03,3.494931754531190222e+02
1.995262314968882751e+10,6.348436136447602394e+02,5.736557325059115101e+03,3.749805873940707102e+02
2.511886431509582138e+10,6.817504997336106953e+02,6.253573594643999058e+03,4.024236824636970482e+02
3.162277660168379211e+10,7.317681419136397380e+02,6.919191097370779971e+03,4.319715459350811670e+02
3.981071705534985352e+10,7.850435242916514653e+02,7.420547379066850226e+03,4.637049520406902730e+02
5.011872336272714996e+10,8.415829870079762713e+02,7.864193514662698362e+03,4.972740773314609442e+02
6.309573444801942444e+10,9.015037410500419810e+02,8.204039364805301375e+03,5.326530711174019643e+02
7.943282347242822266e+10,9.649503170756505597e+02,9.157532052349901278e+03,5.698816475695862209e+02
1.000000000000000000e+11,1.032070905390522512e+03,9.565600239929459349e+03,6.089951049257274462e+02
1.258925411794171295e+11,1.102987528763504315e+03,9.598421948804141721e+03,6.500967351963897727e+02
1.584893192461110840e+11,1.177668130824501304e+03,9.632952559242929055e+03,6.936879394553984639e+02
1.995262314968882751e+11,1.256195425288867682e+03,9.669232344410482256e+03,7.399801498280969554e+02
2.511886431509582214e+11,1.338670544340750666e+03,9.707304146971075170e+03,7.891145892725267004e+02
3.162277660168379517e+11,1.425133861285256216e+03,9.747105068316319375e+03,8.411634136587974808e+02
3.981071705534985352e+11,1.515532465116108597e+03,9.788579254546237280e+03,8.960581857757881608e+02
5.011872336272714844e+11,1.609144131750545739e+03,9.831386578437337448e+03,9.526927888492551801e+02
6.309573444801943359e+11,1.705350042596482353e+03,9.875429327120597009e+03,1.010746876544743373e+03
7.943282347242821045e+11,1.143707039372148756e+03,9.920650755078102520e+03,1.070013794995949183e+03
1.000000000000000000e+12,4.965994773139312883e+02,9.947640028842084575e+03,1.042986707851672918e+03
