E_GeV,casc_e,casc_mu,casc_tau,dc_e,dc_mu,dc_tau,utr_e,utr_mu,utr_tau,str_e,str_mu,str_tau,start_e,start_mu,start_tau
1.25892541e+04,1.02654253e-02,0.00000000e+00,0.00000000e+00,1.44322566e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.86317136e+00,0.00000000e+00,0.00000000e+00,4.85229112e-02,0.00000000e+00,5.50135760e-04,0.00000000e+00,0.00000000e+00
1.58489319e+04,2.55325621e-02,8.10074981e-04,2.46911406e-03,3.59187967e-04,3.14751086e-05,8.69877530e-05,0.00000000e+00,2.87537866e+00,0.00000000e+00,0.00000000e+00,6.77788712e-02,0.00000000e+00,1.36834008e-03,1.15459301e-03,2.67409574e-04
1.99526231e+04,5.86749223e-02,2.78004785e-03,8.08252364e-03,8.26787605e-04,1.08052212e-04,2.85345551e-04,0.00000000e+00,4.22821496e+00,0.00000000e+00,0.00000000e+00,1.11497378e-01,0.00000000e+00,3.14465428e-03,3.96342745e-03,8.75871692e-04
2.51188643e+04,1.26040551e-01,7.18436723e-03,2.05042925e-02,1.78269182e-03,2.79457691e-04,7.27905489e-04,0.00000000e+00,5.96858969e+00,0.00000000e+00,0.00000000e+00,1.56838562e-01,0.00000000e+00,6.75585296e-03,1.02491758e-02,2.22519358e-03
3.16227766e+04,2.58444394e-01,1.63402481e-02,4.62120194e-02,3.68541069e-03,6.36726009e-04,1.66129884e-03,0.00000000e+00,9.02825291e+00,0.00000000e+00,0.00000000e+00,2.47500595e-01,0.00000000e+00,1.38564248e-02,2.33442466e-02,5.03119096e-03
3.98107171e+04,5.12876793e-01,3.44300269e-02,9.72818322e-02,7.43982858e-03,1.34669301e-03,3.59324436e-03,0.00000000e+00,1.28329744e+01,0.00000000e+00,0.00000000e+00,3.48715025e-01,0.00000000e+00,2.75142664e-02,4.93377542e-02,1.06635107e-02
5.01187234e+04,9.82645034e-01,6.88826928e-02,1.95422592e-01,1.47277852e-02,2.71532196e-03,7.63129440e-03,0.00000000e+00,1.76210541e+01,0.00000000e+00,0.00000000e+00,5.04526085e-01,0.00000000e+00,5.27857022e-02,9.93257282e-02,2.17171741e-02
6.30957344e+04,1.79421632e+00,1.31913120e-01,3.76840524e-01,2.83641214e-02,5.27798242e-03,1.63288576e-02,0.00000000e+00,2.43079110e+01,0.00000000e+00,0.00000000e+00,7.05926433e-01,0.00000000e+00,9.66385574e-02,1.92472964e-01,4.29391094e-02
7.94328235e+04,3.07147620e+00,2.41466113e-01,6.94153863e-01,5.21375574e-02,9.90456911e-03,3.55073594e-02,0.00000000e+00,3.20432530e+01,0.00000000e+00,0.00000000e+00,1.07379813e+00,0.00000000e+00,1.66197856e-01,3.59206866e-01,8.21867782e-02
1.00000000e+05,4.86109844e+00,4.19466820e-01,1.20847728e+00,8.93659108e-02,1.78115641e-02,7.69068330e-02,0.00000000e+00,4.15124034e+01,0.00000000e+00,0.00000000e+00,1.51170336e+00,0.00000000e+00,2.64797467e-01,6.40507995e-01,1.49956224e-01
1.25892541e+05,7.07632772e+00,6.87243108e-01,1.96899556e+00,1.41139097e-01,3.03824759e-02,1.59912446e-01,0.00000000e+00,5.47698497e+01,0.00000000e+00,0.00000000e+00,1.98699187e+00,0.00000000e+00,3.88648325e-01,1.08027015e+00,2.56073802e-01
1.58489319e+05,9.54461408e+00,1.06027357e+00,2.99250124e+00,2.06479082e-01,4.88597356e-02,3.10879537e-01,0.00000000e+00,7.06450288e+01,0.00000000e+00,0.00000000e+00,2.88606844e+00,0.00000000e+00,5.28916803e-01,1.71386393e+00,4.06192977e-01
1.99526231e+05,1.21083278e+01,1.54429172e+00,4.25059205e+00,2.83923313e-01,7.40668902e-02,5.59518289e-01,0.00000000e+00,8.75063159e+01,0.00000000e+00,0.00000000e+00,3.88641872e+00,0.00000000e+00,6.76933060e-01,2.55886276e+00,6.00476020e-01
2.51188643e+05,1.46925532e+01,2.13708395e+00,5.68258443e+00,3.73181160e-01,1.06404918e-01,9.34512568e-01,0.00000000e+00,1.12024341e+02,0.00000000e+00,0.00000000e+00,4.84667162e+00,0.00000000e+00,8.27973040e-01,3.61605182e+00,8.35942334e-01
3.16227766e+05,1.72973395e+01,2.83280803e+00,7.21786932e+00,4.75615704e-01,1.46018120e-01,1.46000827e+00,0.00000000e+00,1.28197822e+02,0.00000000e+00,0.00000000e+00,6.30731057e+00,0.00000000e+00,9.81031236e-01,4.87607160e+00,1.10983670e+00
3.98107171e+05,1.99640357e+01,3.62767137e+00,8.79462484e+00,5.94003767e-01,1.93070957e-01,2.15352564e+00,0.00000000e+00,1.49679030e+02,0.00000000e+00,0.00000000e+00,8.42763355e+00,0.00000000e+00,1.13706569e+00,6.32924697e+00,1.42218933e+00
5.01187234e+05,2.27549880e+01,4.52261836e+00,1.03644177e+01,7.32425418e-01,2.47926219e-01,3.02399801e+00,0.00000000e+00,1.82385116e+02,0.00000000e+00,0.00000000e+00,1.00950358e+01,0.00000000e+00,1.29785810e+00,7.97109582e+00,1.77610358e+00
6.30957344e+05,2.57254587e+01,5.52052023e+00,1.18960654e+01,8.95682188e-01,3.11025962e-01,4.07209644e+00,0.00000000e+00,2.04896112e+02,0.00000000e+00,0.00000000e+00,1.22328297e+01,0.00000000e+00,1.46431107e+00,9.79782714e+00,2.17777624e+00
7.94328235e+05,2.89273862e+01,6.62676971e+00,1.33744780e+01,1.08952092e+00,3.82930244e-01,5.29141827e+00,0.00000000e+00,2.41686446e+02,0.00000000e+00,0.00000000e+00,1.52786955e+01,0.00000000e+00,1.63649034e+00,1.18072653e+01,2.63554029e+00
1.00000000e+06,3.24159774e+01,7.84919817e+00,1.47976935e+01,1.32106792e+00,4.64319986e-01,6.67058770e+00,0.00000000e+00,2.71215631e+02,0.00000000e+00,0.00000000e+00,1.84925640e+01,0.00000000e+00,1.81378322e+00,1.39985215e+01,3.15839359e+00
1.25892541e+06,3.62622428e+01,9.19837439e+00,1.61761570e+01,1.59971411e+00,5.56020050e-01,8.19725783e+00,0.00000000e+00,3.08184001e+02,0.00000000e+00,0.00000000e+00,1.88150969e+01,0.00000000e+00,1.99530093e+00,1.63722212e+01,3.75483357e+00
1.58489319e+06,4.05853852e+01,1.06911570e+01,1.75427655e+01,1.93935159e+00,6.59222473e-01,9.86950038e+00,0.00000000e+00,3.50928551e+02,0.00000000e+00,0.00000000e+00,2.19616235e+01,0.00000000e+00,2.18115164e+00,1.89363458e+01,4.43460183e+00
1.99526231e+06,4.55724969e+01,1.23450164e+01,1.89231097e+01,2.36100720e+00,7.75110475e-01,1.16830820e+01,0.00000000e+00,3.79482019e+02,0.00000000e+00,0.00000000e+00,2.66135340e+01,0.00000000e+00,2.37248750e+00,2.16952259e+01,5.19994442e+00
2.51188643e+06,5.16010542e+01,1.41818696e+01,2.03435751e+01,2.90262351e+00,9.05063444e-01,1.36356282e+01,0.00000000e+00,4.33530522e+02,0.00000000e+00,0.00000000e+00,2.60981698e+01,0.00000000e+00,2.57578819e+00,2.46561031e+01,6.04412266e+00
3.16227766e+06,5.96017072e+01,1.62278399e+01,2.18295207e+01,3.64963215e+00,1.05071347e+00,1.57286538e+01,0.00000000e+00,4.86844962e+02,0.00000000e+00,0.00000000e+00,3.26560763e+01,0.00000000e+00,2.81498713e+00,2.78286425e+01,6.94785326e+00
3.98107171e+06,7.25680130e+01,1.85134630e+01,2.34033628e+01,4.86343468e+00,1.21392915e+00,1.79652886e+01,0.00000000e+00,5.29008483e+02,0.00000000e+00,0.00000000e+00,3.56013741e+01,0.00000000e+00,3.18094129e+00,3.12243258e+01,7.87349603e+00
5.01187234e+06,1.05625420e+02,2.10756709e+01,2.50752559e+01,7.85056416e+00,1.39694478e+00,2.03409213e+01,0.00000000e+00,5.81123283e+02,0.00000000e+00,0.00000000e+00,3.75978748e+01,0.00000000e+00,4.15190796e+00,3.48589839e+01,8.75508759e+00
6.30957344e+06,4.16350198e+02,2.39545779e+01,2.68611392e+01,3.52120057e+01,1.60214940e+00,2.28590999e+01,0.00000000e+00,6.43361184e+02,0.00000000e+00,0.00000000e+00,4.26253756e+01,0.00000000e+00,1.36313450e+01,3.87464751e+01,9.49828808e+00
7.94328235e+06,4.62632394e+02,2.71937664e+01,2.87765356e+01,4.16838550e+01,1.83210455e+00,2.55269072e+01,0.00000000e+00,7.00249519e+02,0.00000000e+00,0.00000000e+00,5.35206068e+01,0.00000000e+00,1.32084388e+01,4.28992479e+01,9.97234492e+00
1.00000000e+07,1.26541430e+02,3.08109764e+01,3.08430552e+01,1.10750148e+01,2.08789903e+00,2.83515753e+01,0.00000000e+00,7.75754244e+02,0.00000000e+00,0.00000000e+00,5.59208439e+01,0.00000000e+00,3.74588250e+00,4.73400967e+01,1.01544252e+01
1.25892541e+07,1.05394110e+02,3.47862592e+01,3.30961774e+01,9.08109068e+00,2.36854201e+00,3.13467507e+01,0.00000000e+00,8.40158405e+02,0.00000000e+00,0.00000000e+00,5.95618818e+01,0.00000000e+00,3.20150834e+00,5.21121240e+01,1.02359204e+01
1.58489319e+07,1.05605500e+02,3.91215223e+01,3.55791974e+01,9.09152526e+00,2.67454693e+00,3.45525943e+01,0.00000000e+00,9.29130763e+02,0.00000000e+00,0.00000000e+00,6.53156573e+01,0.00000000e+00,3.21359614e+00,5.72643187e+01,1.03662375e+01
1.99526231e+07,1.11283537e+02,4.38398610e+01,3.83080378e+01,9.61769202e+00,3.00761607e+00,3.79947665e+01,0.00000000e+00,1.01142691e+03,0.00000000e+00,0.00000000e+00,6.96463405e+01,0.00000000e+00,3.36647581e+00,6.28255008e+01,1.05601645e+01
2.51188643e+07,1.19402106e+02,4.89630102e+01,4.12961312e+01,1.03755026e+01,3.36937926e+00,4.16978559e+01,0.00000000e+00,1.08397161e+03,0.00000000e+00,0.00000000e+00,8.22107393e+01,0.00000000e+00,3.58142960e+00,6.88218981e+01,1.08331917e+01
3.16227766e+07,1.29082836e+02,5.45131733e+01,4.45588790e+01,1.12825272e+01,3.76149855e+00,4.56893399e+01,0.00000000e+00,1.15447707e+03,0.00000000e+00,0.00000000e+00,9.01342539e+01,0.00000000e+00,3.83563015e+00,7.52792397e+01,1.11973388e+01
3.98107171e+07,1.40021132e+02,6.05140057e+01,4.81087036e+01,1.23102729e+01,4.18571756e+00,4.99930642e+01,0.00000000e+00,1.29780977e+03,0.00000000e+00,0.00000000e+00,1.03721982e+02,0.00000000e+00,4.12114738e+00,8.22236347e+01,1.16625700e+01
5.01187234e+07,1.52113086e+02,6.69910849e+01,5.19301523e+01,1.34491355e+01,4.64388042e+00,5.46004713e+01,0.00000000e+00,1.40715041e+03,0.00000000e+00,0.00000000e+00,1.02062949e+02,0.00000000e+00,4.43523608e+00,8.96822112e+01,1.22214926e+01
6.30957344e+07,1.65339446e+02,7.39722098e+01,5.60298009e+01,1.46973501e+01,5.13791195e+00,5.95244884e+01,0.00000000e+00,1.52438008e+03,0.00000000e+00,0.00000000e+00,1.20931909e+02,0.00000000e+00,4.77737095e+00,9.76847933e+01,1.28671512e+01
7.94328235e+07,1.79722393e+02,8.14881946e+01,6.04200667e+01,1.60570075e+01,5.66991374e+00,6.47825003e+01,0.00000000e+00,1.64112593e+03,0.00000000e+00,0.00000000e+00,1.27816923e+02,0.00000000e+00,5.14810172e+00,1.06264911e+02,1.35952860e+01
1.00000000e+08,1.95306573e+02,8.95724280e+01,6.51137634e+01,1.75323289e+01,6.24215109e+00,7.03910047e+01,0.00000000e+00,1.83160890e+03,0.00000000e+00,0.00000000e+00,1.37331967e+02,0.00000000e+00,5.54853562e+00,1.15458895e+02,1.44027844e+01
1.25892541e+08,2.12157192e+02,9.82635579e+01,7.01345449e+01,1.91294140e+01,6.85723287e+00,7.63772106e+01,0.00000000e+00,1.92860907e+03,0.00000000e+00,0.00000000e+00,1.52584807e+02,0.00000000e+00,5.98032199e+00,1.25309842e+02,1.52894646e+01
1.58489319e+08,2.30389409e+02,1.07621314e+02,7.55647916e+01,2.08588934e+01,7.51922468e+00,8.28337543e+01,0.00000000e+00,2.11478266e+03,0.00000000e+00,0.00000000e+00,1.70306523e+02,0.00000000e+00,6.44648340e+00,1.35887602e+02,1.62672286e+01
1.99526231e+08,2.50100234e+02,1.17695625e+02,8.14504909e+01,2.27297935e+01,8.23150311e+00,8.98114838e+01,0.00000000e+00,2.29548338e+03,0.00000000e+00,0.00000000e+00,1.73343759e+02,0.00000000e+00,6.94949745e+00,1.47249431e+02,1.73409030e+01
2.51188643e+08,2.71387792e+02,1.28535534e+02,8.78316450e+01,2.47512122e+01,8.99738331e+00,9.73539739e+01,0.00000000e+00,2.49154043e+03,0.00000000e+00,0.00000000e+00,2.01291678e+02,0.00000000e+00,7.49188339e+00,1.59452337e+02,1.85146458e+01
3.16227766e+08,2.94356572e+02,1.40191805e+02,9.47508503e+01,2.69328137e+01,9.82030808e+00,1.05507664e+02,0.00000000e+00,2.68091830e+03,0.00000000e+00,0.00000000e+00,2.18629989e+02,0.00000000e+00,8.07634216e+00,1.72556138e+02,1.97933493e+01
3.98107171e+08,3.19115435e+02,1.52716534e+02,1.02240727e+02,2.92847238e+01,1.07038122e+01,1.14307724e+02,0.00000000e+00,2.82602767e+03,0.00000000e+00,0.00000000e+00,2.40970602e+02,0.00000000e+00,8.70564169e+00,1.86621780e+02,2.11795510e+01
